target_smiles	sampled_smiles_1	sampled_smiles_2	sampled_smiles_3	sampled_smiles_4	sampled_smiles_5	sampled_smiles_6	sampled_smiles_7	sampled_smiles_8	sampled_smiles_9	sampled_smiles_10	loglikelihood_1	loglikelihood_2	loglikelihood_3	loglikelihood_4	loglikelihood_5	loglikelihood_6	loglikelihood_7	loglikelihood_8	loglikelihood_9	loglikelihood_10
O=C1CC[C@H](CN2CCN(CCOc3cc4ncnc(Nc5ccc(F)c(Cl)c5)c4cc3OC3CCCC3)CC2)O1	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(C(F)(F)S(C)(=O)=O)c(Cl)c4)c3cc2OC2CCCC2)CC1	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(C(F)(F)O5C(=O)CC[C@@H]5COS(C)(=O)=O)c(Cl)c4)c3cc2OC2CCCC2)CC1	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(N(F)N5C(=O)CC[C@@H]5COS(C)(=O)=O)c(Cl)c4)c3cc2OC2CCCC2)CC1	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc2OC2CCCC2)CC1	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc2OC2CCCC2)CC1.CS(=O)(=O)OC[C@H]1CCC(=O)O1	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(C(F)(F)OC[C@H]5CCC(=O)O5)c(Cl)c4)c3cc2OC2CCCC2)CC1	CS(=O)(=O)OC[C@H]1CCC(=O)O1.Fc1ccc(Nc2ncnc3cc(OCCN4CCN(C(=O)OC(C)(C)C)CC4)c(OC4CCCC4)cc23)cc1Cl	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(C(F)(F)N5C(=O)CC[C@@H]5COS(C)(=O)=O)c(Cl)c4)c3cc2OC2CCCC2)CC1	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(S(C)(=O)=O)c(Cl)c4)c3cc2OC2CCCC2)CC1	CC(C)(C)OC(=O)N1CCN(CCOc2cc3ncnc(Nc4ccc(N(F)S(C)(=O)=O)c(Cl)c4)c3cc2OC2CCCC2)CC1	-1.2824118	-3.1706712	-3.2805367	-3.4043558	-3.9068425	-3.9918983	-4.073595	-4.3487353	-4.5141215	-4.578535
Nc1nc2[nH]c(CCCc3csc(C(=O)O)c3)cc2c(=O)[nH]1	COC(=O)c1cc(CCC(=O)c2cc3c(=O)[nH]c(N)nc3[nH]2)cs1	COC(=O)c1cc(CCCc2cc3c(=O)[nH]c(N)nc3n2C(C)=O)cs1	COC(=O)c1cc(CCCc2cc3c(=O)[nH]c(N)nc3n2C(=O)c2ccccc2)cs1	COC(=O)c1cc(CCC(c2cc3c(=O)[nH]c(N)nc3[nH]2)=O)cs1	COC(=O)c1cc(CCC(=O)Cc2csc(C(=O)OC)c2)cs1	COC(=O)c1cc(CCC(c2cc3c(nc(N)[nH]c3=O)[nH]2)=O)cs1	COC(=O)c1cc(CCC(=O)c2cc3c(nc(N)[nH]c3=O)[nH]2)cs1	c1(=O)[nH]c(N)nc2[nH]c(CCCc3csc(C(OC)=O)c3)cc12	COC(=O)c1cc(CCCc2cc3c(=O)[nH]c(N)nc3[nH]2)cs1	O=c1[nH]c(N)nc2[nH]c(CCCc3csc(C(OC)=O)c3)cc21	-1.0092247	-2.420311	-5.020222	-5.5320687	-5.681949	-5.887509	-6.347111	-6.5949616	-6.648347	-7.250151
CC1(C)OB(c2cccc(Nc3nccc(C(F)(F)F)n3)c2)OC1(C)C	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(Br)c1ccnc(Nc2cccc(Br)c2)n1	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(c1ccnc(Nc2cccc(Br)c2)n1)C(F)(F)C(C)(C)O	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(C(C)(O)C)c1ccnc(Nc2cccc(Br)c2)n1	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(C(C)(O)C)c1nc(Nc2cccc(Br)c2)ncc1	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(C(c1ccnc(Nc2cccc(Br)c2)n1)(F)F)C1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(c1ccnc(Nc2cccc(Br)c2)n1)C(F)(C)O	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(C(c1ccnc(Nc2cccc(Br)c2)n1)(F)F)C1(C)C(C)(C)OB(B2OC(C)(C)C(C)(C)O2)O1	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(c1ccnc(Nc2cccc(Br)c2)n1)C(F)(F)C(C)(O)C	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(c1ccnc(Nc2cccc(Br)c2)n1)C(F)(F)C(O)(C)C	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(C(c1ccnc(Nc2cc(Br)ccc2)n1)(F)F)C1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C	-3.2037358	-4.931097	-5.222901	-5.2459455	-5.8095694	-5.8160043	-5.8256154	-5.840974	-5.8700438	-5.899496
CC(C)(C)OC(=O)NCC(=O)CCC(=O)OCCCC(=O)O	CC(C)(C)OC(=O)NCC(=O)CCC(=O)[O-].O=C(CCCBr)OCc1ccccc1	CC(C)(C)OC(=O)NCC(=O)CCC(=O)[O-].O=C(CCCI)OCc1ccccc1	CC(C)(C)OC(=O)NCC(=O)CCC(=O)[O-].O=C(CCCO)OCc1ccccc1	O=C(OC(C)(C)C)NCC(=O)CCC([O-])=O.c1ccccc1COC(=O)CCCO	CC(C)(OC(=O)NCC(=O)CCC([O-])=O)C.c1ccccc1COC(=O)CCCO	CC(C)(OC(NCC(=O)CCC([O-])=O)=O)C.c1ccccc1COC(=O)CCCO	CC(C)(OC(NCC(=O)CCC([O-])=O)=O)C.c1cccc(COC(=O)CCCI)c1	O=C(OC(C)(C)C)NCC(=O)CCC([O-])=O.c1ccc(COC(=O)CCCI)cc1	O=C(OC(C)(C)C)NCC(=O)CCC([O-])=O.c1cccc(COC(=O)CCCI)c1	CC(C)(OC(=O)NCC(=O)CCC([O-])=O)C.c1cccc(COC(=O)CCCI)c1	-1.0775275	-1.9216418	-3.5046382	-9.483851	-9.60559	-9.666236	-9.921722	-9.931145	-9.940868	-10.066333
Fc1cc2c(NC3CCCCCC3)ncnc2cn1	Fc1cc2c(Cl)ncnc2cn1C.NC1CCCCCC1	Fc1cc2c(Cl)ncnc2cn1N.O=C1CCCCCC1	Fc1cc2c(Cl)ncnc2cn1C.NNC1CCCCCC1	Fc1cc2c(Cl)ncnc2cn1Br.NC1CCCCCC1	Fc1cc2c(Cl)ncnc2cn1I.NNC1CCCCCC1	Fc1cc2c(Cl)ncnc2cn1Br.NNC1CCCCCC1	Fc1cc2c(Cl)ncnc2cn1I.NC1CCCCCC1	Fc1cc2c(Cl)ncnc2cn1C.N(C1CCCCCC1)(C1CCCCCC1)Cl	Fc1cc2c(Cl)ncnc2cn1C.N(C1CCCCCC1)(C(=O)OC(C)(C)C)Cl	Fc1cc2c(Cl)ncnc2cn1S(=O)(=O)C.C1CCCCCC1NN	-2.3735917	-2.601138	-3.3821256	-3.3870285	-3.5259054	-3.5595145	-4.1026554	-5.583457	-6.5307426	-6.645824
COc1ccc(S(=O)(=O)Nc2ccc3c(c2)B(O)OC3)c([N+](=O)[O-])c1	COc1ccc(S(=O)(=O)Cl)c([N+](=O)[O-])c1Br.Nc1ccc2c(c1)B(O)OC2	c1([N+](=O)[O-])c(S(=O)(Cl)=O)ccc(OC)c1Br.c1c2c(ccc1N)COB2O	c1([N+]([O-])=O)c(S(=O)(Cl)=O)ccc(OC)c1Br.c1c2c(ccc1N)COB2O	c1([N+](=O)[O-])c(S(=O)(Cl)=O)ccc(OC)c1Br.c1c2c(cc(N)c1)B(O)OC2	c1([N+](=O)[O-])c(S(=O)(Cl)=O)ccc(OC)c1Br.c1c(N)ccc2c1B(O)OC2	c1([N+](=O)[O-])c(S(=O)(Cl)=O)ccc(OC)c1Br.c1c(N)cc2c(c1)COB2O	c1(OC)c(Br)c([N+](=O)[O-])c(S(Cl)(=O)=O)cc1.c1c2c(ccc1N)COB2O	c1(OC)c(Br)c([N+](=O)[O-])c(S(Cl)(=O)=O)cc1.c1c2c(cc(N)c1)B(O)OC2	c1(OC)c(Br)c([N+](=O)[O-])c(S(Cl)(=O)=O)cc1.c1c(N)ccc2c1B(O)OC2	c1(OC)c(Br)c([N+](=O)[O-])c(S(Cl)(=O)=O)cc1.c1c(N)cc2c(c1)COB2O	-0.6541776	-8.783137	-8.826762	-8.851971	-8.879061	-8.885182	-9.123953	-9.1907835	-9.194753	-9.197612
O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2CCN(S(=O)(=O)c3cc(Cl)c(Br)cc3F)CC2)cc1F	NS(=O)(=O)C1CC1O.O=C(O)c1cc(C2CC2)c(OCC2CCN(S(=O)(=O)c3cc(Cl)c(Br)cc3F)CC2)cc1F	NS(=O)(=O)C1CC1O.NS(=O)(=O)C1CC1OC(=O)c1cc(C2CC2)c(OCC2CCN(S(=O)(=O)c3cc(Cl)c(Br)cc3F)CC2)cc1F	NS(=O)(=O)C1CC1O.NS(=O)(=O)C1CC1COc1cc(F)c(C(=O)O)cc1C1CC1	NS(=O)(=O)C1CC1O.N1(S(=O)(=O)c2cc(Cl)c(Br)cc2F)CCC(COc2cc(F)c(C(=O)O)cc2C2CC2)CC1	NS(=O)(=O)C1CC1O.N1(S(=O)(c2cc(Cl)c(Br)cc2F)=O)CCC(COc2cc(F)c(C(=O)O)cc2C2CC2)CC1	NS(=O)(=O)C1CC1O.N1(S(c2cc(Cl)c(Br)cc2F)(=O)=O)CCC(COc2cc(F)c(C(=O)O)cc2C2CC2)CC1	NS(=O)(=O)C1CC1O.N1(S(=O)(=O)c2c(F)cc(Br)c(Cl)c2)CCC(COc2cc(F)c(C(=O)O)cc2C2CC2)CC1	NS(=O)(=O)C1CC1O.N1(S(=O)(c2c(F)cc(Br)c(Cl)c2)=O)CCC(COc2cc(F)c(C(=O)O)cc2C2CC2)CC1	NS(=O)(=O)C1CC1O.N1(S(=O)(c2cc(Cl)c(Br)cc2F)=O)CCC(COc2c(C3CC3)cc(C(=O)O)c(F)c2)CC1	NS(=O)(=O)C1CC1O.N1(S(c2c(F)cc(Br)c(Cl)c2)(=O)=O)CCC(COc2cc(F)c(C(=O)O)cc2C2CC2)CC1	-2.1144662	-3.092501	-3.8362007	-4.4843397	-4.4930477	-4.5211487	-4.5578527	-4.558802	-4.5754566	-4.57549
C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)OC(C)(C)C)cc1	C[C@H](N)c1ccc(C(=O)OC(C)(C)C)cc1Oc1cccc(F)c1.O=C(Cl)c1cc(Cl)cnc1Cl	c1(C(OC(C)(C)C)=O)ccc([C@@H](N)C)c(Oc2cccc(F)c2)c1.c1(Cl)cnc(Cl)c(C(Cl)=O)c1	c1(Oc2cccc(F)c2)cc(C(=O)OC(C)(C)C)ccc1[C@H](C)N.c1(Cl)cnc(Cl)c(C(=O)Cl)c1	c1(C(OC(C)(C)C)=O)ccc([C@@H](N)C)c(Oc2cccc(F)c2)c1.c1(Cl)cnc(Cl)c(C(=O)Cl)c1	c1(C(OC(C)(C)C)=O)ccc([C@@H](N)C)c(Oc2cc(F)ccc2)c1.c1(Cl)cnc(Cl)c(C(Cl)=O)c1	c1(C(OC(C)(C)C)=O)ccc([C@@H](N)C)c(Oc2cccc(F)c2)c1.Clc1cnc(Cl)c(C(Cl)=O)c1	c1(Oc2cccc(F)c2)cc(C(=O)OC(C)(C)C)ccc1[C@H](C)N.c1(Cl)cnc(Cl)c(C(Cl)=O)c1	c1(C(OC(C)(C)C)=O)ccc([C@@H](N)C)c(Oc2cc(F)ccc2)c1.c1(Cl)cnc(Cl)c(C(=O)Cl)c1	c1(C(OC(C)(C)C)=O)cc(Oc2cccc(F)c2)c([C@H](C)N)cc1.c1(Cl)cnc(Cl)c(C(=O)Cl)c1	c1(C(OC(C)(C)C)=O)cc(Oc2cc(F)ccc2)c([C@H](C)N)cc1.c1(Cl)cnc(Cl)c(C(=O)Cl)c1	-0.73974043	-10.344153	-10.34446	-10.356321	-10.365997	-10.370802	-10.374981	-10.376326	-10.376807	-10.38294
c1ccc(Cn2ccc3ccccc32)cc1	ClC(Cl)(Cl)Cl.OCc1ccccc1-c1ccc2[nH]ccc2c1	ClCc1ccccc1CBr.OB(O)c1ccc2[nH]ccc2c1	ClCc1ccccc1CBr.c1cc2[nH]ccc2cc1B(O)O	ClCc1ccccc1CBr.c1cc2cc(B(O)O)ccc2[nH]1	ClC(Cl)(Cl)Cl.OCc1ccccc1Cc1ccc2[nH]ccc2c1	ClCc1ccccc1CBr.c1cc2[nH]ccc2cc1I	ClCc1ccccc1CBr.c1cc(B(O)O)cc2cc[nH]c12	ClCc1ccccc1CBr.c1cc2c(cc1)[nH]cc2	ClCc1ccccc1CBr.c1cc2c(ccc(B(O)O)c2)[nH]1	ClCc1ccccc1CBr.c1cc2c(cc[nH]2)cc1B(O)O	-2.0394022	-2.4250197	-3.1030009	-3.8281293	-3.9257739	-4.1000676	-4.277455	-4.4773064	-4.546441	-4.8521237
COc1ccc(CN(C(=O)OCc2ccccc2)[C@@H]2C(=O)N(Cc3ccc(OC)cc3OC)[C@@H]2CC=C(Br)Br)cc1	COc1ccc(CN2C(=O)[C@@H](N(Cc3ccc(OCC(Br)(Br)Br)cc3)C(=O)OCc3ccccc3)[C@H]2CCO)c(OC)c1	c1cc(OC)cc(OC)c1CN1[C@H](CCO)[C@H](N(Cc2ccc(OCC(Br)(Br)Br)cc2)C(=O)OCc2ccccc2)C1=O	c1cc(OC)cc(OC)c1CN1[C@H](CCO)[C@H](N(Cc2ccc(OCC(Br)(Br)Br)cc2)C(OCc2ccccc2)=O)C1=O	c1cc(OC)cc(OC)c1CN1[C@H](CCO)[C@H](N(C(OCc2ccccc2)=O)Cc2ccc(OCC(Br)(Br)Br)cc2)C1=O	c1cc(OC)cc(OC)c1CN1[C@H](CCO)[C@H](N(C(=O)OCc2ccccc2)Cc2ccc(OCC(Br)(Br)Br)cc2)C1=O	c1cc(OC)cc(OC)c1CN1C(=O)[C@@H](N(Cc2ccc(OCC(Br)(Br)Br)cc2)C(=O)OCc2ccccc2)[C@H]1CCO	c1cc(OC)cc(OC)c1CN1C(=O)[C@@H](N(Cc2ccc(OCC(Br)(Br)Br)cc2)C(OCc2ccccc2)=O)[C@H]1CCO	c1c(OC)c(CN2[C@H](CCO)[C@H](N(Cc3ccc(OCC(Br)(Br)Br)cc3)C(OCc3ccccc3)=O)C2=O)ccc1OC	c1c(OC)cc(OC)c(CN2[C@H](CCO)[C@H](N(Cc3ccc(OCC(Br)(Br)Br)cc3)C(OCc3ccccc3)=O)C2=O)c1	c1c(OC)cc(OC)c(CN2[C@H](CCO)[C@H](N(Cc3ccc(OCC(Br)(Br)Br)cc3)C(=O)OCc3ccccc3)C2=O)c1	-0.7142675	-6.261511	-6.2643614	-6.279788	-6.310201	-6.4180217	-6.4272084	-6.684578	-6.747118	-6.761369
